date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,walking,transit,driving,stay at home,>50 gatherings,>500 gatherings,public schools,restaurant dine-in,entertainment/gym,federal guideline,foreign travel ban,cases,deaths,PopulationEstimate65+2017,CensusPopulation2010,#EligibleforMedicare2018,"MedicareEnrollment,AgedTot2017",#FTEHospitalTotal2017,"TotalM.D.'s,TotNon-FedandFed2017",PopMale<52010,PopFmle<52010,PopMale5-92010,PopFmle5-92010,PopMale10-142010,PopFmle10-142010,PopMale15-192010,PopFmle15-192010,PopMale20-242010,PopFmle20-242010,PopMale25-292010,PopFmle25-292010,PopMale30-342010,PopFmle30-342010,PopMale35-442010,PopFmle35-442010,PopMale45-542010,PopFmle45-542010,PopMale55-592010,PopFmle55-592010,PopMale60-642010,PopFmle60-642010,PopMale65-742010,PopFmle65-742010,PopMale75-842010,PopFmle75-842010,PopMale>842010,PopFmle>842010,forMask,notForMask
1/23/2020,0,0,0,0,0,0,0.154545455,0.036363636,0.108311688,1,1,1,1,1,1,1,1,0,0,0.188007322,1,0.210688895,0.167758941,0.015400773,0.003163634,0.036383195,0.034911203,0.036177313,0.034798718,0.035825155,0.034366148,0.037121303,0.035090958,0.035913859,0.033326257,0.035295275,0.033540274,0.033201257,0.031988651,0.065100421,0.063574768,0.064910653,0.066901574,0.027951271,0.030757584,0.026119142,0.028786845,0.036956566,0.040936218,0.019982738,0.023906226,0.005903927,0.010272501,0.36,0.64
1/24/2020,0,0,0,0,0,0,0.304545455,0.059090909,0.263961039,1,1,1,1,1,1,1,1,0,0,0.188007322,1,0.210688895,0.167758941,0.015400773,0.003163634,0.036383195,0.034911203,0.036177313,0.034798718,0.035825155,0.034366148,0.037121303,0.035090958,0.035913859,0.033326257,0.035295275,0.033540274,0.033201257,0.031988651,0.065100421,0.063574768,0.064910653,0.066901574,0.027951271,0.030757584,0.026119142,0.028786845,0.036956566,0.040936218,0.019982738,0.023906226,0.005903927,0.010272501,0.36,0.64
1/25/2020,0,0,0,0,0,0,0.327272727,-0.063636364,0.218506494,1,1,1,1,1,1,1,1,0,0,0.188007322,1,0.210688895,0.167758941,0.015400773,0.003163634,0.036383195,0.034911203,0.036177313,0.034798718,0.035825155,0.034366148,0.037121303,0.035090958,0.035913859,0.033326257,0.035295275,0.033540274,0.033201257,0.031988651,0.065100421,0.063574768,0.064910653,0.066901574,0.027951271,0.030757584,0.026119142,0.028786845,0.036956566,0.040936218,0.019982738,0.023906226,0.005903927,0.010272501,0.36,0.64
1/26/2020,0,0,0,0,0,0,-0.127272727,-0.259090909,-0.140324675,1,1,1,1,1,1,1,1,1,0,0.188007322,1,0.210688895,0.167758941,0.015400773,0.003163634,0.036383195,0.034911203,0.036177313,0.034798718,0.035825155,0.034366148,0.037121303,0.035090958,0.035913859,0.033326257,0.035295275,0.033540274,0.033201257,0.031988651,0.065100421,0.063574768,0.064910653,0.066901574,0.027951271,0.030757584,0.026119142,0.028786845,0.036956566,0.040936218,0.019982738,0.023906226,0.005903927,0.010272501,0.36,0.64
1/27/2020,0,0,0,0,0,0,0.063636364,0.009090909,0.014805195,1,1,1,1,1,1,1,1,0,0,0.188007322,1,0.210688895,0.167758941,0.015400773,0.003163634,0.036383195,0.034911203,0.036177313,0.034798718,0.035825155,0.034366148,0.037121303,0.035090958,0.035913859,0.033326257,0.035295275,0.033540274,0.033201257,0.031988651,0.065100421,0.063574768,0.064910653,0.066901574,0.027951271,0.030757584,0.026119142,0.028786845,0.036956566,0.040936218,0.019982738,0.023906226,0.005903927,0.010272501,0.36,0.64
1/28/2020,0,0,0,0,0,0,0.090909091,0.054545455,0.083636364,1,1,1,1,1,1,1,1,0,0,0.188007322,1,0.210688895,0.167758941,0.015400773,0.003163634,0.036383195,0.034911203,0.036177313,0.034798718,0.035825155,0.034366148,0.037121303,0.035090958,0.035913859,0.033326257,0.035295275,0.033540274,0.033201257,0.031988651,0.065100421,0.063574768,0.064910653,0.066901574,0.027951271,0.030757584,0.026119142,0.028786845,0.036956566,0.040936218,0.019982738,0.023906226,0.005903927,0.010272501,0.36,0.64
1/29/2020,0,0,0,0,0,0,0.113636364,0.059090909,0.104480519,1,1,1,1,1,1,1,1,0,0,0.188007322,1,0.210688895,0.167758941,0.015400773,0.003163634,0.036383195,0.034911203,0.036177313,0.034798718,0.035825155,0.034366148,0.037121303,0.035090958,0.035913859,0.033326257,0.035295275,0.033540274,0.033201257,0.031988651,0.065100421,0.063574768,0.064910653,0.066901574,0.027951271,0.030757584,0.026119142,0.028786845,0.036956566,0.040936218,0.019982738,0.023906226,0.005903927,0.010272501,0.36,0.64
1/30/2020,0,0,0,0,0,0,0.177272727,0.045454545,0.171363636,1,1,1,1,1,1,1,1,0,0,0.188007322,1,0.210688895,0.167758941,0.015400773,0.003163634,0.036383195,0.034911203,0.036177313,0.034798718,0.035825155,0.034366148,0.037121303,0.035090958,0.035913859,0.033326257,0.035295275,0.033540274,0.033201257,0.031988651,0.065100421,0.063574768,0.064910653,0.066901574,0.027951271,0.030757584,0.026119142,0.028786845,0.036956566,0.040936218,0.019982738,0.023906226,0.005903927,0.010272501,0.36,0.64
1/31/2020,0,0,0,0,0,0,0.354545455,0.063636364,0.331558442,1,1,1,1,1,1,1,1,0,0,0.188007322,1,0.210688895,0.167758941,0.015400773,0.003163634,0.036383195,0.034911203,0.036177313,0.034798718,0.035825155,0.034366148,0.037121303,0.035090958,0.035913859,0.033326257,0.035295275,0.033540274,0.033201257,0.031988651,0.065100421,0.063574768,0.064910653,0.066901574,0.027951271,0.030757584,0.026119142,0.028786845,0.036956566,0.040936218,0.019982738,0.023906226,0.005903927,0.010272501,0.36,0.64
2/1/2020,0,0,0,0,0,0,0.381818182,-0.059090909,0.261233766,1,1,1,1,1,1,1,1,0,0,0.188007322,1,0.210688895,0.167758941,0.015400773,0.003163634,0.036383195,0.034911203,0.036177313,0.034798718,0.035825155,0.034366148,0.037121303,0.035090958,0.035913859,0.033326257,0.035295275,0.033540274,0.033201257,0.031988651,0.065100421,0.063574768,0.064910653,0.066901574,0.027951271,0.030757584,0.026119142,0.028786845,0.036956566,0.040936218,0.019982738,0.023906226,0.005903927,0.010272501,0.36,0.64
